model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
glm-5.1,2d0aad1f,diabetes,36.7569,69,1688,0,45.92,0.00527
glm-5.1,d45870d3,astma_bij_volwassenen,33.3861,824,1429,0,42.8,0.00521
glm-5.1,954837b8,chronische nierschade,16.7203,722,996,0,59.57,0.00378
glm-5.1,239e8d46,influenza,31.1518,809,1525,0,48.95,0.00549
glm-5.1,26c7ce23,COPD,16.1723,1797,1977,0,122.25,0.00785
glm-5.1,d5292fe3,hartfalen,49.0674,479,1777,0,36.22,0.00594
glm-5.1,e183935a,hand-en-polsklachten,55.447,989,2604,0,46.96,0.00899
glm-5.1,b2e7594b,astma_bij_volwassenen,23.5343,1386,874,0,37.14,0.00405
glm-5.1,77fa76ed,diabetes,39.6727,1500,2116,0,53.34,0.00799
glm-5.1,2a1d1c4f,angst,34.339,605,1559,0,45.4,0.00539
glm-5.1,30bb02f6,hartfalen,54.6682,1634,1646,0,30.11,0.00667
glm-5.1,11916502,astma_bij_volwassenen,30.5306,2301,836,0,27.38,0.00483
glm-5.1,55dfe898,angst,52.1351,1043,2257,0,43.29,0.00797
glm-5.1,b2bd81db,influenza,79.1902,1791,3173,0,40.07,0.01153
glm-5.1,f9b85327,depressie,35.4732,1847,973,0,27.43,0.00481
glm-5.1,cb347263,diabetes,21.8361,3256,1190,0,54.5,0.00686
glm-5.1,b2b30436,hartfalen,25.1741,765,1870,0,74.28,0.00651
glm-5.1,0bd5271f,astma_bij_volwassenen,7.9899,2864,895,0,112.02,0.00556
glm-5.1,87b815e3,influenza,25.3865,759,1259,0,49.59,0.00462
glm-5.1,376a681b,chronische nierschade,96.6341,1187,2291,0,23.71,0.00822
glm-5.1,95b6fc41,depressie,28.5924,877,1542,0,53.93,0.00561
glm-5.1,8b461f4f,hartfalen,29.9303,127,1424,0,47.58,0.00451
glm-5.1,43cb91e4,diabetes,44.5422,84,2154,0,48.36,0.00672
glm-5.1,098ffb4a,chronische nierschade,54.547,8805,2278,0,41.76,0.01565
glm-5.1,4ecbf37a,influenza,53.659,326,1344,0,25.05,0.00446
