model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
deepseek-v4-pro,2fe356e8,astma_bij_volwassenen,29.5169,457,1242,1144,42.08,0.00128
deepseek-v4-pro,11916502,astma_bij_volwassenen,38.7725,2287,1845,1744,47.59,0.0026
deepseek-v4-pro,11d04754,astma_bij_volwassenen,11.9204,1958,596,439,50.0,0.00137
deepseek-v4-pro,2df177a8,astma_bij_volwassenen,6.9647,672,327,286,46.95,0.00058
deepseek-v4-pro,58dc4284,astma_bij_volwassenen,17.1693,492,662,450,38.56,0.00079
deepseek-v4-pro,8099cb48,astma_bij_volwassenen,124.7636,446,5489,5225,44.0,0.00497
deepseek-v4-pro,ae0f75b7,astma_bij_volwassenen,12.8987,2013,538,380,41.71,0.00134
deepseek-v4-pro,c144cce7,astma_bij_volwassenen,17.5739,704,781,638,44.44,0.00099
deepseek-v4-pro,0bd5271f,astma_bij_volwassenen,7.172,2891,324,309,45.18,0.00154
deepseek-v4-pro,d1b6ab17,astma_bij_volwassenen,66.734,1393,3270,2651,49.0,0.00345
deepseek-v4-pro,632e9c57,astma_bij_volwassenen,12.2298,528,529,470,43.25,0.00069
deepseek-v4-pro,e8466ecc,astma_bij_volwassenen,32.0713,1469,1438,1251,44.84,0.00189
deepseek-v4-pro,e50fb7a5,astma_bij_volwassenen,6.7925,1876,321,247,47.26,0.0011
deepseek-v4-pro,4da534ba,astma_bij_volwassenen,39.6487,1932,1953,1864,49.26,0.00254
deepseek-v4-pro,c05e081b,astma_bij_volwassenen,27.6353,917,1429,1223,51.71,0.00164
deepseek-v4-pro,930c1e07,astma_bij_volwassenen,27.603,185,1236,908,44.78,0.00116
deepseek-v4-pro,b2ff6f13,astma_bij_volwassenen,18.6191,1381,834,766,44.79,0.00133
deepseek-v4-pro,9b3c0e6b,astma_bij_volwassenen,8.4986,2251,372,273,43.77,0.0013
deepseek-v4-pro,eae4206a,astma_bij_volwassenen,27.5044,1030,1312,1156,47.7,0.00159
deepseek-v4-pro,b068643b,astma_bij_volwassenen,31.1489,155,1155,832,37.08,0.00107
deepseek-v4-pro,48e7cd51,astma_bij_volwassenen,24.6706,5048,1140,1033,46.21,0.00319
deepseek-v4-pro,4cbc2ebd,astma_bij_volwassenen,44.0456,2901,1931,1746,43.84,0.00294
deepseek-v4-pro,30828961,astma_bij_volwassenen,69.5721,2701,3179,2958,45.69,0.00394
deepseek-v4-pro,92a56077,astma_bij_volwassenen,89.3341,2892,3913,3640,43.8,0.00466
glm-5.1,b2e7594b,astma_bij_volwassenen,16.9996,1386,850,0,50.0,0.00398
glm-5.1,78012662,astma_bij_volwassenen,20.0937,3580,423,0,21.05,0.00481
glm-5.1,c753ba13,astma_bij_volwassenen,43.1328,3897,2375,0,55.06,0.01113
glm-5.1,d45870d3,astma_bij_volwassenen,43.3046,824,1228,0,28.36,0.00459
glm-5.1,d5728205,astma_bij_volwassenen,26.9032,3848,729,0,27.1,0.00602
glm-5.1,31cbcbb3,astma_bij_volwassenen,13.6008,1263,1056,0,77.64,0.00449
glm-5.1,fd9d1d3e,astma_bij_volwassenen,63.2881,3287,1274,0,20.13,0.00715
glm-5.1,d5b40cf3,astma_bij_volwassenen,44.5204,818,1978,0,44.43,0.00689
glm-5.1,eb7f73d1,astma_bij_volwassenen,26.3066,69,1696,0,64.47,0.00529
glm-5.1,8099cb48,astma_bij_volwassenen,47.278,378,2211,0,46.77,0.00718
glm-5.1,bc2dc8a4,astma_bij_volwassenen,48.9553,1694,2375,0,48.51,0.00898
glm-5.1,eb5ee053,astma_bij_volwassenen,37.2123,620,1117,0,30.02,0.00405
glm-5.1,7f6a8e16,astma_bij_volwassenen,31.1007,3534,823,0,26.46,0.006
glm-5.1,fbf79128,astma_bij_volwassenen,12.5163,709,828,0,66.15,0.00325
glm-5.1,11916502,astma_bij_volwassenen,12.9382,2301,260,0,20.1,0.00306
glm-5.1,dd9cbc5c,astma_bij_volwassenen,23.0102,2131,1770,0,76.92,0.00754
glm-5.1,eb91f618,astma_bij_volwassenen,33.9892,677,764,0,22.48,0.00302
glm-5.1,58dc4284,astma_bij_volwassenen,31.7946,431,936,0,29.44,0.00331
glm-5.1,d1b6ab17,astma_bij_volwassenen,54.7381,1325,2569,0,46.93,0.00921
